1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2023-05-08,2023-S19,05-14 ans,46.63961569,30.797659378,910.98880243
2023-05-08,2023-S19,15-64 ans,250.29886432,302.50145433,1940.4262792
2023-05-15,2023-S20,00-04 ans,299.0361166,541.8138987,310.92378912
2023-05-15,2023-S20,Tous âges,359.5227938,817.22144708,1476.156778
2023-05-22,2023-S21,15-64 ans,217.78828496,257.47822794,1923.510068
2023-05-22,2023-S21,65 ans ou plus,846.11507165,1248.5945914,2076.088102
2023-05-22,2023-S21,Tous âges,346.40043557,759.14120319,1496.9022973
2023-05-29,2023-S22,Tous âges,272.67033691,610.4750959,1229.5032077
2023-06-05,2023-S23,00-04 ans,166.17377834,301.48423006,171.21955016
2023-06-05,2023-S23,65 ans ou plus,533.54034206,763.381903,1709.1114884
2023-06-05,2023-S23,Tous âges,201.07548211,449.38608063,1006.7244027
2023-06-12,2023-S24,00-04 ans,106.63374116,193.65771,147.66686356
2023-06-12,2023-S24,05-14 ans,14.119450552,25.974025974,518.2689816
2023-06-19,2023-S25,65 ans ou plus,360.53629774,586.53785835,771.60493827
2023-06-19,2023-S25,Tous âges,141.40364313,321.8282205,571.50523209
2023-06-26,2023-S26,00-04 ans,113.47195824,122.48897599,200.29273554
2023-07-03,2023-S27,65 ans ou plus,301.53578821,466.0683357,825.0058099
2023-07-10,2023-S28,05-14 ans,22.252510361,62.383031815,261.58445441
2023-07-10,2023-S28,15-64 ans,93.540138378,101.10087621,1050.9818383
2023-07-17,2023-S29,15-64 ans,120.78866669,113.55034065,1227.8059245
2023-07-31,2023-S31,00-04 ans,434.92210616,931.57725667,496.70786647
2023-07-31,2023-S31,05-14 ans,17.467859139,0.0,823.70134184
2023-08-07,2023-S32,00-04 ans,716.22006842,1200.1297438,1092.6902788
2023-08-07,2023-S32,05-14 ans,64.888494245,72.124053372,1343.1542461
2023-08-14,2023-S33,00-04 ans,1100.9236852,1488.8337469,1111.1111111
2023-08-14,2023-S33,15-64 ans,491.23023145,422.61166253,4231.6211811
2023-08-14,2023-S33,65 ans ou plus,1160.5624356,1728.6816841,4097.586118
2023-08-14,2023-S33,Tous âges,675.36481497,1112.1728097,3607.2406968
2023-08-21,2023-S34,00-04 ans,1544.5328979,2626.1434051,1667.5025075
2023-08-21,2023-S34,05-14 ans,221.246032,438.59649123,1608.0518279
2023-08-21,2023-S34,Tous âges,837.32913476,1446.4443514,4061.8928671
2023-08-28,2023-S35,05-14 ans,149.0264684,132.62599469,2242.7286532
2023-08-28,2023-S35,Tous âges,894.6214814,1556.5608017,4845.212875
2023-09-04,2023-S36,05-14 ans,347.61474113,245.85125999,3678.8917906
2023-09-18,2023-S38,00-04 ans,1284.3700034,1806.704397,1452.0620607
2023-09-18,2023-S38,Tous âges,1023.6101132,1829.8503517,6411.9531903
2023-10-02,2023-S40,65 ans ou plus,2611.1751502,3927.151925,7034.0747233
2023-10-09,2023-S41,00-04 ans,638.17663818,1182.4990146,880.30249321
