BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;020003877;020000253;IDRACH;1;;
SSR2;2019;020003877;020000253;ISOCIN;1;;
SSR2;2019;020003877;020000253;LABMAR;1;;
SSR2;2019;020003877;020000253;PISCIN;1;;
SSR2;2019;020003877;020000253;SALINT;1;;
SSR2;2019;020003877;020000253;SIMESP;1;;
SSR2;2019;020003877;020000253;STICON;1;;
SSR2;2019;020003877;020000253;VEHADP;1;;
SSR2;2019;020010310;750719361;APTAUT;1;;
SSR2;2019;020010310;750719361;ASSMAR;1;;
SSR2;2019;020010310;750719361;ASSMEM;1;;
SSR2;2019;020010310;750719361;EXPEQU;1;;
SSR2;2019;020010310;750719361;EXPURO;1;;
SSR2;2019;020010310;750719361;IDRACH;1;;
SSR2;2019;020010310;750719361;ISOCIN;1;;
SSR2;2019;020010310;750719361;LABMAR;1;;
SSR2;2019;020010310;750719361;PISCIN;1;;
SSR2;2019;020010310;750719361;SALINT;1;;
SSR2;2019;020010310;750719361;SIMESP;1;;
SSR2;2019;020010310;750719361;STICON;1;;
SSR2;2019;020010310;750719361;VEHADP;1;;
SSR2;2019;020016341;750814030;APTAUT;1;;
SSR2;2019;020016341;750814030;ASSMAR;;;1
SSR2;2019;020016341;750814030;ASSMEM;;;1
SSR2;2019;020016341;750814030;EXPEQU;1;;
SSR2;2019;020016341;750814030;EXPURO;1;;
SSR2;2019;020016341;750814030;IDRACH;1;;
SSR2;2019;020016341;750814030;ISOCIN;;;1
SSR2;2019;020016341;750814030;LABMAR;1;;
SSR2;2019;020016341;750814030;PISCIN;;;1
SSR2;2019;020016341;750814030;SALINT;1;;
SSR2;2019;020016341;750814030;SIMESP;1;;
SSR2;2019;020016341;750814030;STICON;;;1
SSR2;2019;020016341;750814030;VEHADP;1;;
SSR2;2019;030000012;030180020;APTAUT;;1;
SSR2;2019;030000012;030180020;ASSMAR;1;;
SSR2;2019;030000012;030180020;ASSMEM;1;;
SSR2;2019;030000012;030180020;EXPEQU;;1;
SSR2;2019;030000012;030180020;EXPURO;;;1
SSR2;2019;030000012;030180020;IDRACH;1;;
SSR2;2019;030000012;030180020;ISOCIN;1;;
SSR2;2019;030000012;030180020;LABMAR;1;;
SSR2;2019;030000012;030180020;PISCIN;;1;
SSR2;2019;030000012;030180020;SALINT;1;;
SSR2;2019;030000012;030180020;SIMESP;;1;
SSR2;2019;030000012;030180020;STICON;1;;
SSR2;2019;030000012;030180020;VEHADP;1;;
SSR2;2019;030000061;030780092;APTAUT;1;;
SSR2;2019;030000061;030780092;ASSMAR;1;;
SSR2;2019;030000061;030780092;ASSMEM;1;;
SSR2;2019;030000061;030780092;EXPEQU;;1;
SSR2;2019;030000061;030780092;EXPURO;1;;
SSR2;2019;030000061;030780092;IDRACH;1;;
SSR2;2019;030000061;030780092;ISOCIN;1;;
SSR2;2019;030000061;030780092;LABMAR;1;;
SSR2;2019;030000061;030780092;PISCIN;1;;
SSR2;2019;030000061;030780092;SALINT;1;;
SSR2;2019;030000061;030780092;SIMESP;1;;
SSR2;2019;030000061;030780092;STICON;1;;
SSR2;2019;030000061;030780092;VEHADP;1;;
SSR2;2019;030000079;030780100;APTAUT;1;;
SSR2;2019;030000079;030780100;ASSMAR;1;;
SSR2;2019;030000079;030780100;ASSMEM;1;;
SSR2;2019;030000079;030780100;EXPEQU;1;;
SSR2;2019;030000079;030780100;EXPURO;;1;
SSR2;2019;030000079;030780100;IDRACH;1;;
SSR2;2019;030000079;030780100;ISOCIN;1;;
SSR2;2019;030000079;030780100;LABMAR;1;;
SSR2;2019;030000079;030780100;PISCIN;1;;
SSR2;2019;030000079;030780100;SALINT;;1;
