BOR;AN;FI;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2019;070780234;750721300;;;;;;;;;;;;;;;;;;;;;;3;A;C;;;;1;1;SUD DRÔME ARDÈCHE;;;;;;;;;;;;;;
ORG;2019;070780242;070000120;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;SUD DRÔME ARDÈCHE;;;;;;;;;;0.2;;;;
ORG;2019;070780317;630786754;;;;;;;;;;;;;1;B;;;;;;;;119;C;A;;;;0;;;;;;;;;;0.1;;;3.32;;;
ORG;2019;070780390;070000211;;;;1;B;;;;;;;;;;;;;;;;;15;C;A;;;;1;1;LOIRE;;;;;0.1;;;;;;0.4;0.05;0.07;
ORG;2019;070780424;070000245;0;;;0;;;0;;;0;;;0;;;0;;;0;;;55;A;C;0;;;0;;;;;;;0.05;;;1.24;;;;;;
ORG;2019;070784897;750820680;;;;1;A;B;;;;;;;;;;1;A;;;;;26;D;C;;;;1;1;SUD DRÔME ARDÈCHE;;;;;;;;;;;;;;
ORG;2019;070786231;690796552;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;;0;;;;;;0.05;;;
ORG;2019;070786249;690796552;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;;0;;;0.47;;;1.07;;;0.8
ORG;2019;080000110;080000037;;;;1;A;;;;;;;;;;;;;;;;;1;C;;;;;;;;;;;;;;;;;;;;;
ORG;2019;080000219;080001969;;;;2;A;B;;;;;;;1;B;;;;;;;;61;A;C;;;;;;;;;;;;0;;;0;0.83;;2;0.33;
ORG;2019;080000250;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
ORG;2019;080000268;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
ORG;2019;080000276;080001969;;;;2;A;B;;;;;;;1;B;;;;;;;;61;A;C;;;;;;;;;;;;;;;;;0.83;3.8;0.33;
ORG;2019;080000284;080000060;;;;1;A;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2019;080000318;080000086;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;0;;;;;;;;;
ORG;2019;080000425;080000615;1;C;;1;A;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;0.25;2.75;1.17;1.2;26.81;;;33.3;;
ORG;2019;080002140;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
ORG;2019;080008568;510000953;0;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;080009392;510007081;0;;;0;;;0;;;0;;;0;;;1;;;0;;;0;;;0;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2019;080009814;080000615;1;C;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2019;080010267;080010242;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
ORG;2019;080010465;080010242;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
ORG;2019;080010473;080010242;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
ORG;2019;090000019;090180019;;;;1;D;;;;;;;;1;B;;;;;;;;;;;;;;;;;;;;;0;0;0.5;0;0;0;0;0;0.5;0
ORG;2019;090000175;090781774;;;;1;D;;;;;;;;;;;1;D;;;;;347;;;;;;1;1;PYRÉNÉES ARIÉGEOISES;;;;;0.4;;;;;;;;;
ORG;2019;090000183;090781816;;;;2;;;;;;;;;;;;;;;1;;;12;;;;;;;;;;;;;0.5;2.67;3;;7.6;8;;1.7;2;
ORG;2019;090002833;310000633;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2019;100000082;100001148;;;;;;;;;;;;;;;;1;A;;;;;1;C;;;;;0;;;;;;;0.05;;;;;;;;;
ORG;2019;100000090;100000017;;;;2;D;;;;;;;;1;A;;1;D;;;;;180;A;;;;;;;;;;;;1.96;1.3;3.17;7.84;6.53;2;13.06;1.76;20.5;77.94
ORG;2019;100000108;100000033;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;1;1;AUBE ET SÉZANNAIS;;;;;;;;;;;;;;
ORG;2019;100000116;100000041;;;;1;B;;;;;;;;1;A;;;;;;;;8;D;;;;;;;;;;;;;;;;;;;;;
